"","edad","sexo","year","poblacion"
"1",0,"Hombres",2017,210606
"2",0,"Mujeres",2017,199294
"3",1,"Hombres",2017,218042
"4",1,"Mujeres",2017,205462
"5",2,"Hombres",2017,223030
"6",2,"Mujeres",2017,209113
"7",3,"Hombres",2017,221124
"8",3,"Mujeres",2017,208617
"9",4,"Hombres",2017,234728
"10",4,"Mujeres",2017,220627
"11",5,"Hombres",2017,244408
"12",5,"Mujeres",2017,229596
"13",6,"Hombres",2017,247168
"14",6,"Mujeres",2017,232209
"15",7,"Hombres",2017,253150
"16",7,"Mujeres",2017,236520
"17",8,"Hombres",2017,266687
"18",8,"Mujeres",2017,249715
"19",9,"Hombres",2017,257675
"20",9,"Mujeres",2017,241495
"21",10,"Hombres",2017,256298
"22",10,"Mujeres",2017,240179
"23",11,"Hombres",2017,250320
"24",11,"Mujeres",2017,236627
"25",12,"Hombres",2017,248479
"26",12,"Mujeres",2017,233394
"27",13,"Hombres",2017,243356
"28",13,"Mujeres",2017,230706
"29",14,"Hombres",2017,234926
"30",14,"Mujeres",2017,221630
"31",15,"Hombres",2017,233120
"32",15,"Mujeres",2017,221068
"33",16,"Hombres",2017,234608
"34",16,"Mujeres",2017,219128
"35",17,"Hombres",2017,228311
"36",17,"Mujeres",2017,215700
"37",18,"Hombres",2017,224109
"38",18,"Mujeres",2017,208828
"39",19,"Hombres",2017,224967
"40",19,"Mujeres",2017,213175
"41",20,"Hombres",2017,223124
"42",20,"Mujeres",2017,212995
"43",21,"Hombres",2017,223814
"44",21,"Mujeres",2017,212637
"45",22,"Hombres",2017,226908
"46",22,"Mujeres",2017,217094
"47",23,"Hombres",2017,235635
"48",23,"Mujeres",2017,227642
"49",24,"Hombres",2017,243877
"50",24,"Mujeres",2017,237223
"51",25,"Hombres",2017,244028
"52",25,"Mujeres",2017,237855
"53",26,"Hombres",2017,247327
"54",26,"Mujeres",2017,244104
"55",27,"Hombres",2017,252974
"56",27,"Mujeres",2017,250410
"57",28,"Hombres",2017,257948
"58",28,"Mujeres",2017,257603
"59",29,"Hombres",2017,262614
"60",29,"Mujeres",2017,263905
"61",30,"Hombres",2017,270188
"62",30,"Mujeres",2017,273175
"63",31,"Hombres",2017,281602
"64",31,"Mujeres",2017,283232
"65",32,"Hombres",2017,293873
"66",32,"Mujeres",2017,296126
"67",33,"Hombres",2017,305454
"68",33,"Mujeres",2017,307051
"69",34,"Hombres",2017,325511
"70",34,"Mujeres",2017,325570
"71",35,"Hombres",2017,342709
"72",35,"Mujeres",2017,340031
"73",36,"Hombres",2017,361579
"74",36,"Mujeres",2017,357847
"75",37,"Hombres",2017,374525
"76",37,"Mujeres",2017,368893
"77",38,"Hombres",2017,394653
"78",38,"Mujeres",2017,384994
"79",39,"Hombres",2017,402977
"80",39,"Mujeres",2017,389230
"81",40,"Hombres",2017,410022
"82",40,"Mujeres",2017,397654
"83",41,"Hombres",2017,408745
"84",41,"Mujeres",2017,393912
"85",42,"Hombres",2017,405050
"86",42,"Mujeres",2017,392348
"87",43,"Hombres",2017,395870
"88",43,"Mujeres",2017,382314
"89",44,"Hombres",2017,394016
"90",44,"Mujeres",2017,381180
"91",45,"Hombres",2017,386885
"92",45,"Mujeres",2017,376034
"93",46,"Hombres",2017,381234
"94",46,"Mujeres",2017,371317
"95",47,"Hombres",2017,376299
"96",47,"Mujeres",2017,369063
"97",48,"Hombres",2017,372541
"98",48,"Mujeres",2017,366689
"99",49,"Hombres",2017,373171
"100",49,"Mujeres",2017,369861
"101",50,"Hombres",2017,363484
"102",50,"Mujeres",2017,360635
"103",51,"Hombres",2017,358415
"104",51,"Mujeres",2017,359521
"105",52,"Hombres",2017,361999
"106",52,"Mujeres",2017,364052
"107",53,"Hombres",2017,343978
"108",53,"Mujeres",2017,346313
"109",54,"Hombres",2017,330594
"110",54,"Mujeres",2017,335997
"111",55,"Hombres",2017,321353
"112",55,"Mujeres",2017,328530
"113",56,"Hombres",2017,322035
"114",56,"Mujeres",2017,329976
"115",57,"Hombres",2017,311660
"116",57,"Mujeres",2017,320839
"117",58,"Hombres",2017,303270
"118",58,"Mujeres",2017,313829
"119",59,"Hombres",2017,294007
"120",59,"Mujeres",2017,306347
"121",60,"Hombres",2017,273018
"122",60,"Mujeres",2017,286110
"123",61,"Hombres",2017,263426
"124",61,"Mujeres",2017,277337
"125",62,"Hombres",2017,249192
"126",62,"Mujeres",2017,265520
"127",63,"Hombres",2017,248674
"128",63,"Mujeres",2017,264551
"129",64,"Hombres",2017,247057
"130",64,"Mujeres",2017,262351
"131",65,"Hombres",2017,228868
"132",65,"Mujeres",2017,246553
"133",66,"Hombres",2017,222192
"134",66,"Mujeres",2017,241417
"135",67,"Hombres",2017,227531
"136",67,"Mujeres",2017,251812
"137",68,"Hombres",2017,236421
"138",68,"Mujeres",2017,262460
"139",69,"Hombres",2017,213881
"140",69,"Mujeres",2017,239484
"141",70,"Hombres",2017,200939
"142",70,"Mujeres",2017,229309
"143",71,"Hombres",2017,207337
"144",71,"Mujeres",2017,238738
"145",72,"Hombres",2017,194500
"146",72,"Mujeres",2017,226076
"147",73,"Hombres",2017,188105
"148",73,"Mujeres",2017,221238
"149",74,"Hombres",2017,159818
"150",74,"Mujeres",2017,189782
"151",75,"Hombres",2017,144097
"152",75,"Mujeres",2017,173737
"153",76,"Hombres",2017,171268
"154",76,"Mujeres",2017,212279
"155",77,"Hombres",2017,109055
"156",77,"Mujeres",2017,141786
"157",78,"Hombres",2017,120130
"158",78,"Mujeres",2017,158007
"159",79,"Hombres",2017,129367
"160",79,"Mujeres",2017,174387
"161",80,"Hombres",2017,133736
"162",80,"Mujeres",2017,188726
"163",81,"Hombres",2017,124598
"164",81,"Mujeres",2017,177160
"165",82,"Hombres",2017,116010
"166",82,"Mujeres",2017,170499
"167",83,"Hombres",2017,110483
"168",83,"Mujeres",2017,168222
"169",84,"Hombres",2017,101006
"170",84,"Mujeres",2017,158771
"171",85,"Hombres",2017,87705
"172",85,"Mujeres",2017,141867
"173",86,"Hombres",2017,77498
"174",86,"Mujeres",2017,134794
"175",87,"Hombres",2017,65064
"176",87,"Mujeres",2017,117208
"177",88,"Hombres",2017,55479
"178",88,"Mujeres",2017,105729
"179",89,"Hombres",2017,44210
"180",89,"Mujeres",2017,88569
"181",90,"Hombres",2017,36782
"182",90,"Mujeres",2017,78039
"183",91,"Hombres",2017,28624
"184",91,"Mujeres",2017,64327
"185",92,"Hombres",2017,22395
"186",92,"Mujeres",2017,53522
"187",93,"Hombres",2017,17338
"188",93,"Mujeres",2017,42605
"189",94,"Hombres",2017,12607
"190",94,"Mujeres",2017,34117
"191",95,"Hombres",2017,8848
"192",95,"Mujeres",2017,24680
"193",96,"Hombres",2017,5981
"194",96,"Mujeres",2017,18047
"195",97,"Hombres",2017,3783
"196",97,"Mujeres",2017,11965
"197",98,"Hombres",2017,2543
"198",98,"Mujeres",2017,8678
"199",99,"Hombres",2017,1669
"200",99,"Mujeres",2017,5985
"201",100,"Hombres",2017,2305
"202",100,"Mujeres",2017,9873
"203",0,"Hombres",2016,215948
"204",0,"Mujeres",2016,203447
"205",1,"Hombres",2016,221681
"206",1,"Mujeres",2016,207849
"207",2,"Hombres",2016,219885
"208",2,"Mujeres",2016,207522
"209",3,"Hombres",2016,233821
"210",3,"Mujeres",2016,219765
"211",4,"Hombres",2016,243729
"212",4,"Mujeres",2016,229115
"213",5,"Hombres",2016,246882
"214",5,"Mujeres",2016,231893
"215",6,"Hombres",2016,252798
"216",6,"Mujeres",2016,236287
"217",7,"Hombres",2016,266449
"218",7,"Mujeres",2016,249361
"219",8,"Hombres",2016,257095
"220",8,"Mujeres",2016,241123
"221",9,"Hombres",2016,255611
"222",9,"Mujeres",2016,239705
"223",10,"Hombres",2016,249630
"224",10,"Mujeres",2016,235953
"225",11,"Hombres",2016,247783
"226",11,"Mujeres",2016,232809
"227",12,"Hombres",2016,242339
"228",12,"Mujeres",2016,230008
"229",13,"Hombres",2016,233904
"230",13,"Mujeres",2016,220902
"231",14,"Hombres",2016,231947
"232",14,"Mujeres",2016,220161
"233",15,"Hombres",2016,233347
"234",15,"Mujeres",2016,218185
"235",16,"Hombres",2016,226750
"236",16,"Mujeres",2016,214680
"237",17,"Hombres",2016,221809
"238",17,"Mujeres",2016,206862
"239",18,"Hombres",2016,222657
"240",18,"Mujeres",2016,210539
"241",19,"Hombres",2016,220876
"242",19,"Mujeres",2016,209924
"243",20,"Hombres",2016,221752
"244",20,"Mujeres",2016,209715
"245",21,"Hombres",2016,224974
"246",21,"Mujeres",2016,213902
"247",22,"Hombres",2016,233585
"248",22,"Mujeres",2016,224229
"249",23,"Hombres",2016,241490
"250",23,"Mujeres",2016,234253
"251",24,"Hombres",2016,241826
"252",24,"Mujeres",2016,234906
"253",25,"Hombres",2016,245216
"254",25,"Mujeres",2016,241344
"255",26,"Hombres",2016,251173
"256",26,"Mujeres",2016,248182
"257",27,"Hombres",2016,256605
"258",27,"Mujeres",2016,255678
"259",28,"Hombres",2016,261647
"260",28,"Mujeres",2016,262458
"261",29,"Hombres",2016,269709
"262",29,"Mujeres",2016,272153
"263",30,"Hombres",2016,281418
"264",30,"Mujeres",2016,282274
"265",31,"Hombres",2016,293962
"266",31,"Mujeres",2016,295340
"267",32,"Hombres",2016,305987
"268",32,"Mujeres",2016,306569
"269",33,"Hombres",2016,326321
"270",33,"Mujeres",2016,325162
"271",34,"Hombres",2016,343717
"272",34,"Mujeres",2016,339654
"273",35,"Hombres",2016,362773
"274",35,"Mujeres",2016,357366
"275",36,"Hombres",2016,375790
"276",36,"Mujeres",2016,368695
"277",37,"Hombres",2016,396370
"278",37,"Mujeres",2016,384707
"279",38,"Hombres",2016,404752
"280",38,"Mujeres",2016,389143
"281",39,"Hombres",2016,411731
"282",39,"Mujeres",2016,397692
"283",40,"Hombres",2016,410469
"284",40,"Mujeres",2016,393989
"285",41,"Hombres",2016,406698
"286",41,"Mujeres",2016,392403
"287",42,"Hombres",2016,397445
